time,open,high,low,close,dynamic_sine_wave,dynamic_cosine_wave,adaptive_EB_sinewave,cycle_strength,cycle_stability,snr,cycle_phase,cycle_stage,cycle_stage_pct,cycle_phase_velocity,phase_velocity,phase_direction
1743389520,3100.22,3101.93,3099.84,3101.65,-1.8903352720716458,-0.7039287277110309,0,0.9999995463203639,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743389580,3101.62,3105.69,3101.47,3105.13,-1.8959387379218782,-0.016944566481711255,0,0.9999995916883275,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743389640,3105.02,3105.14,3103.78,3104.04,-1.6731205425276963,0.6737897269481968,0,0.9999996325194948,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,-3.141592653589793,-1,-1
1743389700,3104.05,3105.64,3103.43,3105.39,-1.318625679344588,1.0719725857492592,0,0.9999996692675452,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743389760,3105.38,3106.04,3105.21,3105.74,-0.8212372632189517,1.5040746761978285,0,0.9999997023407907,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743389820,3105.8,3106.46,3105.65,3106.38,-0.2348550468144657,1.7731869373571532,0,0.9999997321067117,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743389880,3106.35,3106.65,3105.19,3106.43,0.3769773580638893,1.850146880023649,0,0.9999997588960405,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743389940,3106.44,3106.96,3106.2,3106.67,0.958151518045419,1.7574380668084681,0,0.9999997830064364,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390000,3106.65,3107.35,3106.18,3106.88,1.5056785703292344,1.655691100102573,0,0.9999998047057927,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390060,3106.83,3107.39,3105.8,3107.35,1.8496570685450018,1.0401716878589555,0,0.9999998242352135,1,0.9777023833238616,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
